chapter,question,context
10,The ends of the linear chromosomes are maintained by,"The ends of the linear chromosomes are known as telomeres , which have repetitive sequences that code for no particular gene . In a way , these telomeres protect the genes from getting deleted as cells continue to divide . In humans , a six base pair sequence , TTAGGG , is repeated 100 to 1000 times .  The discovery of the enzyme telomerase ( Figure 14.16 ) helped in the understanding of how chromosome ends are maintained .  The telomerase enzyme contains a catalytic part and a built-in RNA template . It attaches to the end of the chromosome , and complementary bases to the RNA template are added on the 3 ' end of the DNA strand . Once the 3 ' end of the lagging strand template is sufficiently elongated , DNA polymerase can add the nucleotides complementary to the ends of the chromosomes . Thus , the ends of the chromosomes are replicated ."
10,"During proofreading, which of the following enzymes reads the DNA?"," Most of the mistakes during DNA replication are promptly corrected by DNA polymerase by proofreading the base that has been just added ( Figure 14.17 ) .   In proofreading , the DNA pol reads the newly added base before adding the next one , so a correction can be made .  The polymerase checks whether the newly added base has paired correctly with the base in the template strand . If it is the right base , the next nucleotide is added . If an incorrect base has been added , the enzyme makes a cut at the phosphodiester bond and releases the wrong nucleotide . This is performed by the exonuclease action of DNA pol III . Once the incorrect nucleotide has been removed , a new one will be added again ."
10,The initial mechanism for repairing nucleotide errors in DNA is ________.," Most of the mistakes during DNA replication are promptly corrected by DNA polymerase by proofreading the base that has been just added ( Figure 14.17 ) .   In proofreading , the DNA pol reads the newly added base before adding the next one , so a correction can be made .   The polymerase checks whether the newly added base has paired correctly with the base in the template strand .  If it is the right base , the next nucleotide is added . If an incorrect base has been added , the enzyme makes a cut at the phosphodiester bond and releases the wrong nucleotide . This is performed by the exonuclease action of DNA pol III . Once the incorrect nucleotide has been removed , a new one will be added again ."
11,Which of the following fictional societies is an example of a pastoral society?,"Pastoral Changing conditions and adaptations led some societies to rely on the domestication of animals where circumstances permitted . Roughly 7,500 years ago , human societies began to recognize their ability to tame and breed animals and to grow and cultivate their own plants .  Pastoral societies rely on the domestication of animals as a resource for survival .  Unlike earlier hunter-gatherers who depended entirely on existing resources to stay alive , pastoral groups were able to breed livestock for food , clothing , and transportation , creating a surplus of goods . Herding , or pastoral , societies remained nomadic because they were forced to follow their animals to fresh feeding grounds . Around the time that pastoral societies emerged , specialized occupations began to develop , and societies commenced trading with local groups ."
11,Which of the following occupations is a person of power most likely to have in an information society?,"Digital technology is the steam engine of information societies , and computer moguls such as Steve Jobs and Bill Gates are its John D . Rockefellers and Cornelius Vanderbilts .  Since the economy of information societies is driven by knowledge and not material goods , power lies with those in charge of storing and distributing information .  Members of a postindustrial society are likely to be employed as sellers of services — software programmers or business consultants , for example — instead of producers of goods .  Social classes are divided by access to education , since without technical skills , people in an information society lack the means for success .  4.2 Theoretical Perspectives on Society"
11,Which of the following societies were the first to have permanent residents?," These individual pieces of land , known as fiefdoms , were cultivated by the lower class .   In return for maintaining the land , peasants were guaranteed a place to live and protection from outside enemies .  Power was handed down through family lines , with peasant families serving lords for generations and generations . Ultimately , the social and economic system of feudalism would fail , replaced by capitalism and the technological advances of the industrial era .  The ninth century gave rise to feudal societies .   These societies contained a strict hierarchical system of power based around land ownership and protection .  The nobility , known as lords , placed vassals in charge of pieces of land . In return for the resources that the land provided , vassals promised to fight for their lords .  Feudal "
11,Organic solidarity is most likely to exist in which of the following types of societies?," In industrial societies , mechanical solidarity is replaced with organic solidarity , social order based around an acceptance of economic and social differences .  In capitalist societies , Durkheim wrote , division of labor becomes so specialized that everyone is doing different things . Instead of punishing members of a society for failure to assimilate to common values , organic solidarity allows people with differing values to coexist . Laws exist as formalized morals and are based on restitution rather than revenge ."
11,"According to Marx, the _____ own the means of production in a society."," Additionally , Marx saw conflict in society as the primary means of change .   Economically , he saw conflict existing between the owners of the means of production — the bourgeoisie — and the laborers , called the proletariat .  Marx maintained that these conflicts appeared consistently throughout history during times of social revolution . These revolutions or “ class antagonisms ” as he called them , were a result of one class dominating another . Most recently , with the end of feudalism , a new revolutionary class he called the bourgeoisie dominated the proletariat laborers . The bourgeoisie were revolutionary in the sense that they represented a radical change in the structure of society . In Marx ’ s words , “ Society as a whole is more and more splitting up into two great hostile camps , into two great classes directly facing each other — Bourgeoisie and Proletariat ” ( Marx and Engels 1848 ) ."
11,Which of the following best depicts Marx’s concept of alienation from the process of one’s labor?," Alienation from the process of one ’ s labor .   A worker does not control the conditions of her job because she does not own the means of production .  If a person is hired to work in a fast food restaurant , she is expected to make the food the way she is taught . All ingredients must be combined in a particular order and in a particular quantity ; there is no room for creativity or change . An employee at Burger King cannot decide to change the spices used on the fries in the same way that an employee on a Ford assembly line cannot decide to place a car ’ s headlights in a different position . Everything is decided by the bourgeoisie who then dictate orders to the laborers .  Alienation from the product of one ’ s labor .   An industrial worker does not have the opportunity to relate to the product he is laboring on .  Instead of training for years as a watchmaker , an unskilled worker can get a job at a watch factory pressing buttons to seal pieces together . The worker does not care if he is making watches or cars , simply that the job exists .  In the same way , a worker may not even know or care what product he is contributing to .  A worker on a Ford assembly line may spend all day installing windows on car doors without ever seeing the rest of the car . A cannery worker can spend a lifetime cleaning fish without ever knowing what product they are used for ."
11,"The Protestant work ethic is based on the concept of predestination, which states that ________."," John Calvin in particular popularized the Christian concept of predestination , the idea that all events — including salvation — have already been decided by God .  Because followers were never sure whether they had been chosen to enter Heaven or Hell , they looked for signs in their everyday lives . If a person was hard-working and successful , he was likely to be one of the chosen . If a person was lazy or simply indifferent , he was likely to be one of the damned ."
11,The concept of the iron cage was popularized by which of the following sociological thinkers?,"Weber was also unlike his predecessors in that he was more interested in how individuals experienced societal divisions than in the divisions themselves . The symbolic interactionism theory , the third of the three most recognized theories of sociology , is based on Weber ’ s early ideas that emphasize the viewpoint of the individual and how that individual relates to society .  For Weber , the culmination of industrialization , rationalization , and the like results in what he referred to as the iron cage , in which the individual is trapped by institutions and bureaucracy .  This leads to a sense of “ disenchantment of the world , ” a phrase Weber used to describe the final condition of humanity . Indeed a dark prediction , but one that has , at least to some degree , been borne out ( Gerth and Mills 1918 ) . In a rationalized , modern society , we have supermarkets instead of family-owned stores . We have chain restaurants instead of local eateries . Superstores that offer a multitude of merchandise have replaced independent businesses that focused on one product line , such as hardware , groceries , automotive repair , or clothing . Shopping malls offer retail stores , restaurants , fitness centers , even condominiums . This change may be rational , but is it universally desirable ?"
11,Émile Durkheim’s ideas about society can best be described as ________.," Émile Durkheim and Functionalism As a functionalist , Émile Durkheim ’ s ( 1858 – 1917 ) perspective on society stressed the necessary interconnectivity of all of its elements .  To Durkheim , society was greater than the sum of its parts . He asserted that individual behavior was not the same as collective behavior , and that studying collective behavior was quite different from studying an individual ’ s actions . Durkheim called the communal beliefs , morals , and attitudes of a society the collective conscience . In his quest to understand what causes individuals to act in similar and predictable ways , he wrote , “ If I do not submit to the conventions of society , if in my dress I do not conform to the customs observed in my country and in my class , the ridicule I provoke , the social isolation in which I am kept , produce , although in an attenuated form , the same effects as punishment ” ( Durkheim 1895 ) . Durkheim also believed that social integration , or the strength of ties that people have to their social groups , was a key factor in social life ."
11,"According to Peter Berger and Thomas Luckmann, society is based on ________.","Another way of looking at this concept is through W . I . Thomas ’ s notable Thomas theorem which states , “ If men define situations as real , they are real in their consequences ” ( Thomas and Thomas 1928 ) .  That is , people ’ s behavior can be determined by their subjective construction of reality rather than by objective reality .  For example , a teenager who is repeatedly given a label — overachiever , player , bum — might live up to the term even though it initially wasn ’ t a part of his character .  Like Berger and Luckmann ’ s description of habitualization , Thomas states that our moral codes and social norms are created by “ successive definitions of the situation . ” This concept is defined by sociologist Robert K . Merton as a self-fulfilling prophecy .  Merton explains that with a self-fulfilling prophecy , even a false idea can become true if it is acted upon . One example he gives is of a “ bank run . ” Say for some reason , a number of people falsely fear that their bank is soon to be bankrupt . Because of this false notion , people run to their bank and demand all their cash at once . As banks rarely , if ever , have that much money on hand , the bank does indeed run out of money , fulfilling the customers ’ prophecy . Here , reality is constructed by an idea .  In 1966 sociologists Peter Berger and Thomas Luckmann wrote a book called The Social Construction of Reality .   In it , they argued that society is created by humans and human interaction , which they call habitualization .  Habitualization describes how “ any action that is repeated frequently becomes cast into a pattern , which can then be … performed again in the future in the same manner and with the same economical effort ” ( Berger and Luckmann 1966 ) . Not only do we construct our own society , but we accept it as it is because others have created it before us . Society is , in fact , “ habit . ”"
12,Which of the following was mentioned as a skill to which psychology students would be exposed?," An education in psychology is valuable for a number of reasons .   Psychology students hone critical thinking skills and are trained in the use of the scientific method .   Critical thinking is the active application of a set of skills to information for the understanding and evaluation of that information .   The evaluation of information — assessing its reliability and usefulness — is an important skill in a world full of competing “ facts , ” many of which are designed to be misleading .  For example , critical thinking involves maintaining an attitude of skepticism , recognizing internal biases , making use of logical thinking , asking appropriate questions , and making observations . Psychology students also can develop better communication skills during the course of their undergraduate coursework ( American Psychological Association , 2011 ) .  Together , these factors increase students ’ scientific literacy and prepare students to critically evaluate the various sources of information they encounter .  In addition to these broad-based skills , psychology students come to understand the complex factors that shape one ’ s behavior . They appreciate the interaction of our biology , our environment , and our experiences in determining who we are and how we will behave . They learn about basic principles that guide how we think and behave , and they come to recognize the tremendous diversity that exists across individuals and across cultural boundaries ( American Psychological Association , 2011 ) ."
12,Psyche is a Greek word meaning ________.," Psyche comes to represent the human soul ’ s triumph over the misfortunes of life in the pursuit of true happiness ( Bulfinch , 1855 ); in fact , the Greek word psyche means soul , and it is often represented as a butterfly .  The word psychology was coined at a time when the concepts of soul and mind were not as clearly distinguished ( Green , 2001 ) . The root ology denotes scientific study of , and psychology refers to the scientific study of the mind . Since science studies only observable phenomena and the mind is not directly observable , we expand this definition to the scientific study of mind and behavior . The scientific study of any aspect of the world uses the scientific method to acquire knowledge . To apply the scientific method , a researcher with a question about how or why something happens will propose a tentative explanation , called a hypothesis , to explain the phenomenon . A hypothesis is not just any explanation ; it should fit into the context of a scientific theory . A scientific theory is a broad explanation or group of explanations for some aspect of the natural world that is consistently supported by evidence over time . A theory is the best understanding that we have of that part of the natural world . Armed with the hypothesis , the researcher then makes observations or , better still , carries out an experiment to test the validity of the hypothesis . That test and its results are then published so that others can check the results or build on them . It is necessary that any explanation in science be testable , which means that the phenomenon must be perceivable and measurable . For example , that a bird sings because it is happy is not a testable hypothesis , since we have no way to measure the happiness of a bird . We must ask a different question , perhaps about the brain state of the bird , since this can be measured . In general , science deals only with matter and energy , that is , those things that can be measured , and it cannot arrive at knowledge about values and morality . This is one reason why our scientific understanding of the mind is so limited , since thoughts , at least as we experience them , are neither matter nor energy . The scientific method is also a form of empiricism . An empirical method for acquiring knowledge is one based on observation , including experimentation , rather than a method based only on forms of logical argument or previous authorities ."
12,"Before psychology became a recognized academic discipline, matters of the mind were undertaken by those in ________.","Psychology is a relatively young science with its experimental roots in the 19th century , compared , for example , to human physiology , which dates much earlier . As mentioned , anyone interested in exploring issues related to the mind generally did so in a philosophical context prior to the 19th century .  Two men , working in the 19th century , are generally credited as being the founders of psychology as a science and academic discipline that was distinct from philosophy .  Their names were Wilhelm Wundt and William James . This section will provide an overview of the shifts in paradigms that have influenced psychology from Wundt and James through today .  It was not until the late 1800s that psychology became accepted as its own academic discipline .   Before this time , the workings of the mind were considered under the auspices of philosophy .  Given that any behavior is , at its roots , biological , some areas of psychology take on aspects of a natural science like biology . No biological organism exists in isolation , and our behavior is influenced by our interactions with others . Therefore , psychology is also a social science ."
12,"In the scientific method, a hypothesis is a(n) ________.","Psyche comes to represent the human soul ’ s triumph over the misfortunes of life in the pursuit of true happiness ( Bulfinch , 1855 ); in fact , the Greek word psyche means soul , and it is often represented as a butterfly . The word psychology was coined at a time when the concepts of soul and mind were not as clearly distinguished ( Green , 2001 ) . The root ology denotes scientific study of , and psychology refers to the scientific study of the mind . Since science studies only observable phenomena and the mind is not directly observable , we expand this definition to the scientific study of mind and behavior . The scientific study of any aspect of the world uses the scientific method to acquire knowledge .  To apply the scientific method , a researcher with a question about how or why something happens will propose a tentative explanation , called a hypothesis , to explain the phenomenon .   A hypothesis is not just any explanation ; it should fit into the context of a scientific theory .  A scientific theory is a broad explanation or group of explanations for some aspect of the natural world that is consistently supported by evidence over time . A theory is the best understanding that we have of that part of the natural world . Armed with the hypothesis , the researcher then makes observations or , better still , carries out an experiment to test the validity of the hypothesis . That test and its results are then published so that others can check the results or build on them . It is necessary that any explanation in science be testable , which means that the phenomenon must be perceivable and measurable . For example , that a bird sings because it is happy is not a testable hypothesis , since we have no way to measure the happiness of a bird . We must ask a different question , perhaps about the brain state of the bird , since this can be measured . In general , science deals only with matter and energy , that is , those things that can be measured , and it cannot arrive at knowledge about values and morality . This is one reason why our scientific understanding of the mind is so limited , since thoughts , at least as we experience them , are neither matter nor energy . The scientific method is also a form of empiricism . An empirical method for acquiring knowledge is one based on observation , including experimentation , rather than a method based only on forms of logical argument or previous authorities ."
12,"Based on your reading, which theorist would have been most likely to agree with this statement: Perceptual phenomena are best understood as a combination of their components."," Max Wertheimer ( 1880 – 1943 ) , Kurt Koffka ( 1886 – 1941 ) , and Wolfgang Köhler ( 1887 – 1967 ) were three German psychologists who immigrated to the United States in the early 20th century to escape Nazi Germany .   These men are credited with introducing psychologists in the United States to various Gestalt principles .   The word Gestalt roughly translates to “ whole ; ” a major emphasis of Gestalt psychology deals with the fact that although a sensory experience can be broken down into individual parts , how those parts relate to each other as a whole is often what the individual responds to in perception .  For example , a song may be made up of individual notes played by different instruments , but the real nature of the song is perceived in the combinations of these notes as they form the melody , rhythm , and harmony . In many ways , this particular perspective would have directly contradicted Wundt ’ s ideas of structuralism ( Thorne & Henley , 2005 ) ."
12,________ is most well-known for proposing his hierarchy of needs.," Abraham Maslow ( 1908 – 1970 ) was an American psychologist who is best known for proposing a hierarchy of human needs in motivating behavior ( Figure 1.8 ) .  Although this concept will be discussed in more detail in a later chapter , a brief overview will be provided here . Maslow asserted that so long as basic needs necessary for survival were met ( e . g . , food , water , shelter ) , higher-level needs ( e . g . , social needs ) would begin to motivate behavior . According to Maslow , the highest-level needs relate to self-actualization , a process by which we achieve our full potential . Obviously , the focus on the positive aspects of human nature that are characteristic of the humanistic perspective is evident ( Thorne & Henley , 2005 ) . Humanistic psychologists rejected , on principle , the research approach based on reductionist experimentation in the tradition of the physical and biological sciences , because it missed the “ whole ” human being . Beginning with Maslow and Rogers , there was an insistence on a humanistic research program . This program has been largely qualitative ( not measurement-based ) , but there exist a number of quantitative research strains within humanistic psychology , including research on happiness , self-concept , meditation , and the outcomes of humanistic psychotherapy ( Friedman , 2008 ) ."
12,"Rogers believed that providing genuineness, empathy, and ________ in the therapeutic environment for his clients was critical to their being able to deal with their problems.","Carl Rogers ( 1902 – 1987 ) was also an American psychologist who , like Maslow , emphasized the potential for good that exists within all people ( Figure 1.9 ) . Rogers used a therapeutic technique known as client-centered therapy in helping his clients deal with problematic issues that resulted in their seeking psychotherapy . Unlike a psychoanalytic approach in which the therapist plays an important role in interpreting what conscious behavior reveals about the unconscious mind , client-centered therapy involves the patient taking a lead role in the therapy session .  Rogers believed that a therapist needed to display three features to maximize the effectiveness of this particular approach : unconditional positive regard , genuineness , and empathy .   Unconditional positive regard refers to the fact that the therapist accepts their client for who they are , no matter what he or she might say .  Provided these factors , Rogers believed that people were more than capable of dealing with and working through their own issues ( Thorne & Henley , 2005 ) ."
12,The operant conditioning chamber (aka ________ box) is a device used to study the principles of operant conditioning.," The Skinner box is a chamber that isolates the subject from the external environment and has a behavior indicator such as a lever or a button .  When the animal pushes the button or lever , the box is able to deliver a positive reinforcement of the behavior ( such as food ) or a punishment ( such as a noise ) or a token conditioner ( such as a light ) that is correlated with either the positive reinforcement or punishment . Behaviorism dominated experimental psychology for several decades , and its influence can still be felt today ( Thorne & Henley , 2005 ) . Behaviorism is largely responsible for establishing psychology as a scientific discipline through its objective methods and especially experimentation . In addition , it is used in behavioral and cognitive-behavioral therapy . Behavior modification is commonly used in classroom settings . Behaviorism has also led to research on environmental influences on human behavior . B . F . Skinner ( 1904 – 1990 ) was an American psychologist ( Figure 1.7 ) . Like Watson , Skinner was a behaviorist , and he concentrated on how behavior was affected by its consequences . Therefore , Skinner spoke of reinforcement and punishment as major factors in driving behavior .  As a part of his research , Skinner developed a chamber that allowed the careful study of the principles of modifying behavior through reinforcement and punishment .   This device , known as an operant conditioning chamber ( or more familiarly , a Skinner box ) , has remained a crucial resource for researchers studying behavior ( Thorne & Henley , 2005 ) . "
12,An individual’s consistent pattern of thought and behavior is known as a(n) ________.,"More recently , the study of personality has taken on a more quantitative approach . Rather than explaining how personality arises , research is focused on identifying personality traits , measuring these traits , and determining how these traits interact in a particular context to determine how a person will behave in any given situation .  Personality traits are relatively consistent patterns of thought and behavior , and many have proposed that five trait dimensions are sufficient to capture the variations in personality seen across individuals .  These five dimensions are known as the “ Big Five ” or the Five Factor model , and include dimensions of conscientiousness , agreeableness , neuroticism , openness , and extraversion ( Figure 1.14 ) . Each of these traits has been demonstrated to be relatively stable over the lifespan ( e . g . , Rantanen , Metsäpelto , Feldt , Pulkinnen , and Kokko , 2007 ; Soldz & Vaillant , 1999 ; McCrae & Costa , 2008 ) and is influenced by genetics ( e . g . , Jang , Livesly , and Vernon , 1996 ) .  Personality psychology focuses on patterns of thoughts and behaviors that make each individual unique .  Several individuals ( e . g . , Freud and Maslow ) that we have already discussed in our historical overview of psychology , and the American psychologist Gordon Allport , contributed to early theories of personality . These early theorists attempted to explain how an individual ’ s personality develops from his or her given perspective . For example , Freud proposed that personality arose as conflicts between the conscious and unconscious parts of the mind were carried out over the lifespan . Specifically , Freud theorized that an individual went through various psychosexual stages of development . According to Freud , adult personality would result from the resolution of various conflicts that centered on the migration of erogenous ( or sexual pleasure-producing ) zones from the oral ( mouth ) to the anus to the phallus to the genitals . Like many of Freud ’ s theories , this particular idea was controversial and did not lend itself to experimental tests ( Person , 1980 ) ."
12,A researcher interested in what factors make an employee best suited for a given job would most likely identify as a(n) ________ psychologist.,"Industrial-Organizational psychology ( I-O psychology ) is a subfield of psychology that applies psychological theories , principles , and research findings in industrial and organizational settings .  I-O psychologists are often involved in issues related to personnel management , organizational structure , and workplace environment .   Businesses often seek the aid of I-O psychologists to make the best hiring decisions as well as to create an environment that results in high levels of employee productivity and efficiency .  In addition to its applied nature , I-O psychology also involves conducting scientific research on behavior within I-O settings ( Riggio , 2013 ) ."
12,"If someone wanted to become a psychology professor at a 4-year college, then s/he would probably need a ________ degree in psychology.","Often times , schools offer more courses in psychology than their full-time faculty can teach . In these cases , it is not uncommon to bring in an adjunct faculty member or instructor . Adjunct faculty members and instructors usually have an advanced degree in psychology , but they often have primary careers outside of academia and serve in this role as a secondary job .  Alternatively , they may not hold the doctoral degree required by most 4 - year institutions and use these opportunities to gain experience in teaching .  Furthermore , many 2 - year colleges and schools need faculty to teach their courses in psychology . In general , many of the people who pursue careers at these institutions have master ’ s degrees in psychology , although some PhDs make careers at these institutions as well .  Psychologists can work in many different places doing many different things .   In general , anyone wishing to continue a career in psychology at a 4 - year institution of higher education will have to earn a doctoral degree in psychology for some specialties and at least a master ’ s degree for others .   In most areas of psychology , this means earning a PhD in a relevant area of psychology .   Literally , PhD refers to a doctor of philosophy degree , but here , philosophy does not refer to the field of philosophy per se .  Rather , philosophy in this context refers to many different disciplinary perspectives that would be housed in a traditional college of liberal arts and sciences . The requirements to earn a PhD vary from country to country and even from school to school , but usually , individuals earning this degree must complete a dissertation . A dissertation is essentially a long research paper or bundled published articles describing research that was conducted as a part of the candidate ’ s doctoral training . In the United States , a dissertation generally has to be defended before a committee of expert reviewers before the degree is conferred ( Figure 1.18 ) ."
12,The ________ places less emphasis on research and more emphasis on application of therapeutic skills.,"Individuals who wish to become practicing clinical psychologists have another option for earning a doctoral degree , which is known as a PsyD . A PsyD is a doctor of psychology degree that is increasingly popular among individuals interested in pursuing careers in clinical psychology .  PsyD programs generally place less emphasis on research-oriented skills and focus more on application of psychological principles in the clinical context ( Norcorss & Castle , 2002 ) . "
12,Which of the following degrees would be the minimum required to teach psychology courses in high school?,"As mentioned in the opening section of this chapter , an undergraduate education in psychology is associated with a knowledge base and skill set that many employers find quite attractive .  It should come as no surprise , then , that individuals earning bachelor ’ s degrees in psychology find themselves in a number of different careers , as shown in Table 1.1 .   Examples of a few such careers can involve serving as case managers , working in sales , working in human resource departments , and teaching in high schools .  The rapidly growing realm of healthcare professions is another field in which an education in psychology is helpful and sometimes required . For example , the Medical College Admission Test ( MCAT ) exam that people must take to be admitted to medical school now includes a section on the psychological foundations of behavior . Often times , schools offer more courses in psychology than their full-time faculty can teach . In these cases , it is not uncommon to bring in an adjunct faculty member or instructor . Adjunct faculty members and instructors usually have an advanced degree in psychology , but they often have primary careers outside of academia and serve in this role as a secondary job . Alternatively , they may not hold the doctoral degree required by most 4 - year institutions and use these opportunities to gain experience in teaching .  Furthermore , many 2 - year colleges and schools need faculty to teach their courses in psychology .   In general , many of the people who pursue careers at these institutions have master ’ s degrees in psychology , although some PhDs make careers at these institutions as well . "
12,One would need at least a(n) ________ degree to serve as a school psychologist.,"While earning a doctoral degree in psychology is a lengthy process , usually taking between 5 – 6 years of graduate study ( DeAngelis , 2010 ) , there are a number of careers that can be attained with a master ’ s degree in psychology . People who wish to provide psychotherapy can become licensed to serve as various types of professional counselors ( Hoffman , 2012 ) .  Relevant master ’ s degrees are also sufficient for individuals seeking careers as school psychologists ( National Association of School Psychologists , n . d . ) , in some capacities related to sport psychology ( American Psychological Association , 2014 ) , or as consultants in various industrial settings ( Landers , 2011 , June 14 ) .  Undergraduate coursework in psychology may be applicable to other careers such as psychiatric social work or psychiatric nursing , where assessments and therapy may be a part of the job ."
13,What is the largest difference between the Functionalist and Conflict perspectives and the Interactionist perspective?," The Conflict perspective is another macroanalytical view , one that focuses on the genesis and growth of inequality .  A conflict theorist studying the Occupy movement might look at how business interests have manipulated the system over the last 30 years , leading to the gross inequality we see today . Or this perspective might explore how the massive redistribution of wealth from the middle class to the upper class could lead to a two-class system reminiscent of Marxist ideas .  A third perspective is the Symbolic Interaction or Interactionist perspective .   This method of analyzing groups takes a micro-level view .  Instead of studying the big picture , these researchers look at the day-to-day interactions of groups . Studying these details , the Interactionist looks at issues like leadership style and group dynamics . In the case of the Occupy Movement , Interactionists might ask , “ How does the group dynamic in New York differ from that in Atlanta ? ” Or , “ What dictates who becomes the de facto leader in different cities — geography , social dynamics , economic circumstances ? ”  The Functionalist perspective is a big-picture macro-level view that looks at how different aspects of society are intertwined .  This perspective is based on the idea that society is a well-balanced system with all parts necessary to the whole , and it studies the roles these parts play in relation to the whole . In the case of the Occupy Movement , a Functionalist might look at what macro-level needs the movement serves . For example , a Structural Functionalist might ask how the Occupy Wall Street movement forces both haves and have-nots to pay attention to the economy , or the way urbanites are impacted by the influx of protestors who typically reside outside of their region ."
13,What role do secondary groups play in society?,"Sociologist Charles Horton Cooley ( 1864 – 1929 ) suggested that groups can broadly be divided into two categories : primary groups and secondary groups ( Cooley 1909 ) . According to Cooley , primary groups play the most critical role in our lives . The primary group is usually fairly small and is made up of individuals who generally engage face-to-face in long-term emotional ways . This group serves emotional needs : expressive functions rather than pragmatic ones . The primary group is usually made up of significant others , those individuals who have the most impact on our socialization . The best example of a primary group is the family .  Secondary groups are often larger and impersonal .   They may also be task-focused and time-limited .   These groups serve an instrumental function rather than an expressive one , meaning that their role is more goal - or task-oriented than emotional .  A classroom or office can be an example of a secondary group . Neither primary nor secondary groups are bound by strict definitions or set limits . In fact , people can move from one group to another . A graduate seminar , for example , can start as a secondary group focused on the class at hand , but as the students work together throughout their program , they may find common interests and strong ties that transform them into a primary group ."
13,"When a high school student gets teased by her basketball team for receiving an academic award, she is dealing with competing ______________.","Sociology in the Real World College : A World of In-Groups , Out-Groups , and Reference Groups For a student entering college , the sociological study of groups takes on an immediate and practical meaning . After all , when we arrive someplace new , most of us glance around to see how well we fit in or stand out in the ways we want .  This is a natural response to a reference group , and on a large campus , there can be many competing groups .   Say you are a strong athlete who wants to play intramural sports , but your favorite musicians are a local punk band .   You may find yourself engaged with two very different reference groups . "
13,Which of the following is NOT an example of an in-group?,"One of the ways that groups can be powerful is through inclusion , and its inverse , exclusion . In-groups and out-groups are subcategories of primary and secondary groups that help identify this dynamic . Primary groups consist of both in-groups and out-groups , as do secondary groups . The feeling that one belongs in an elite or select group is a heady one , while the feeling of not being allowed in , or of being in competition with a group , can be motivating in a different way . Sociologist William Sumner ( 1840 – 1910 ) developed the concepts of in-group and out-group to explain this phenomenon ( Sumner 1906 ) .  In short , an in-group is the group that an individual feels she belongs to , and she believes it to be an integral part of who she is .  An out-group , conversely , is a group someone doesn ’ t belong to ; often there may be a feeling of disdain or competition in relation to an out-group .  Sports teams , unions , and sororities are examples of in-groups and out-groups ; people may belong to , or be an outsider to , any of these .   While these affiliations can be neutral or even positive , such as the case of a team sport competition , the concept of in-groups and out-groups can also explain some negative human behavior , such as white supremacist movements like the Ku Klux Klan , or the bullying of gay or lesbian students .   By defining others as “ not like us ” and inferior , in-groups can end up practicing ethnocentrism , racism , sexism , ageism , and heterosexism — manners of judging others negatively based on their culture , race , sex , age , or sexuality .  Often , in-groups can form within a secondary group . For instance , a workplace can have cliques of people , from senior executives who play golf together , to engineers who write code together , to young singles who socialize after hours . While these in-groups might show favoritism and affinity for other in-group members , the overall organization may be unable or unwilling to acknowledge it . Therefore , it pays to be wary of the politics of in-groups , since members may exclude others as a form of gaining status within the group ."
13,"What is a group whose values, norms, and beliefs come to serve as a standard for one's own behavior?","We all like to fit in to some degree . Likewise , when we want to stand out , we want to choose how we stand out and for what reasons . For example , a woman who loves cutting-edge fashion and wants to dress in thought-provoking new styles likely wants to be noticed , but most likely she will want to be noticed within a framework of high fashion . She wouldn ’ t want people to think she was too poor to find proper clothes . Conformity is the extent to which an individual complies with group norms or expectations .  As you might recall , we use reference groups to assess and understand how to act , to dress , and to behave .  Not surprisingly , young people are particularly aware of who conforms and who does not . A high school boy whose mother makes him wear ironed button-down shirts might protest that he will look stupid – – that everyone else wears T-shirts . Another high school boy might like wearing those shirts as a way of standing out . How much do you enjoy being noticed ? Do you consciously prefer to conform to group norms so as not to be singled out ? Are there people in your class who immediately come to mind when you think about those who don ’ t want to conform ? Some other examples of reference groups can be an individual ’ s church , synagogue , or mosque ; one ’ s cultural center ; workplace ; family gathering ; and even one ’ s parents . Often , reference groups convey competing messages . For instance , on television and in movies , young adults often have wonderful apartments , cars , and lively social lives despite not holding a job . In music videos , young women might dance and sing in a sexually aggressive way that suggests experience beyond their years .  At all ages , we use reference groups to help guide our behavior and show us social norms .  So how important is it to surround yourself with positive reference groups ? You may never meet or know a reference group , but it still impacts and influences how you act . Identifying reference groups can help you understand the source of the social identities you aspire to or want to distance yourself from .  A reference group is a group that people compare themselves to — it provides a standard of measurement .  In American society , peer groups are common reference groups . Kids and adults pay attention to what their peers wear , what music they like , what they do with their free time — and they compare themselves to what they see . Most people have more than one reference group , so a middle school boy might not just look at his classmates but also at his older brother ’ s friends and see a different set of norms . And he might observe the antics of his favorite athletes for yet another set of behaviors ."
