chapter,question,context
58,disadvantages to using pesticides include,"As the resistance will be passed to future generations of the insect (which is natural selection in action), this could be considered a negative side-effect of pesticide use."
58,hoverflies are good control species as,"The larvae of many hoverfly species also feed upon aphids, with one larva consuming up to fifty aphids a day, which is about 1,000 in its lifetime."
58,the development of pesticide resistant insects,"If so, this can make additional use of the pesticide less effective."
58,insects that destroy crops include,"Insects that destroy crops, including locusts and weevils."
59,which crustacean has two pairs of antennae and two pairs of jaws?,"Small crustaceans, with an eye- less head covered by a horseshoe- shaped shield; has two pairs of an- tennae and two pairs of jaws."
59,which crustacean does not have appendages?,"Adult barnacles  cannot move, so they attach themselves headfirst to a rock or log."
59,crustaceans have an exoskeleton. how do they grow having this feature?,"Crustaceans periodically shed the outer skeleton, grow rapidly for a short time, and then form another hard skeleton."
60,circadian rhythms in humans are usually controlled by,The biological clock sends signals to the body.
60,what organisms are known to migrate long distances?,Are you surprised that birds migrate that far?
60,which of the following statements about migration is true?,Migration is an innate behavior that is triggered by changes in the environment.
60,"while migrating, how do animals know where to go?","Some animals follow landmarks, such as rivers or coastlines."
60,the biological clock is controlled by,The amount of light entering the eyes helps control the biological clock.
61,examples of diurnal raptors include,"These include falcons, eagles and hawks."
61,"birds with sharp, hooked beaks include","Hawks, eagles, falcons and owls have a sharp, hooked beak."
61,a brightly colored bird found in the tropics would be,"They are found in the tropics and include cockatoos, parrots, and parakeets."
61,which describes the feet of a heron?,"Other birds, such as herons, gallinules, and rails, have four long spreading toes, which are adapted for walking delicately in the wetlands ."
62,water is an example of,"Abiotic factors include temperature, water, soil, and air."
62,energy enters an ecosystem through,"Many ecosystems get their energy in the form of sunlight, which enters the ecosystem through photosynthesis."
62,the flow of energy within an ecosystem refers to,"Energy flows from plants to the herbivores that eat the plants, and then to carnivores that eat the herbivores."
62,biogeochemical cycles explain how,These nutrients are used over and over again by organisms.
62,which of the following are ecosystems?,"Ecosystems can include well known sites, such as the Great Barrier Reef off the coast of Australia and the Greater Yellowstone Ecosystem of Yellowstone National Park, which actually includes a few different ecosystems, some with geothermal features, such as Old Faithful geyser."
63,ecology examines how various organisms interact with ____________.,"Field Cell biology Anatomy Morphology Physiology Immunology Neuroscience Developmental biology and embryology Genetics Biochemistry Molecular biology Epidemiology Evolution Focus Cells and their structures/functions Structures of animals Form and structure of living organisms Physical and chemical functions of tissues and organs Mechanisms inside organisms that protect them from disease and infection The nervous system Growth and development of plants and animals Genetic makeup of living organisms and heredity Chemistry of living organisms Nucleic acids and proteins How diseases arise and spread The changing of species over time Field Ecology Biogeography Population biology Focus How various organisms interact with their environ- ments Distribution of living organisms The biodiversity, evolution, and environmental biology of populations of organisms During the study of the life sciences, you will study cell biology, genetics, molecular biology, botany, microbi- ology, zoology, evolution, ecology, and physiology."
63,genetics is the study of __________.,"Field Cell biology Anatomy Morphology Physiology Immunology Neuroscience Developmental biology and embryology Genetics Biochemistry Molecular biology Epidemiology Evolution Focus Cells and their structures/functions Structures of animals Form and structure of living organisms Physical and chemical functions of tissues and organs Mechanisms inside organisms that protect them from disease and infection The nervous system Growth and development of plants and animals Genetic makeup of living organisms and heredity Chemistry of living organisms Nucleic acids and proteins How diseases arise and spread The changing of species over time Field Ecology Biogeography Population biology Focus How various organisms interact with their environ- ments Distribution of living organisms The biodiversity, evolution, and environmental biology of populations of organisms During the study of the life sciences, you will study cell biology, genetics, molecular biology, botany, microbi- ology, zoology, evolution, ecology, and physiology."
63,physiology is the study of the physical and chemical functions of __________ and __________.,"Field Cell biology Anatomy Morphology Physiology Immunology Neuroscience Developmental biology and embryology Genetics Biochemistry Molecular biology Epidemiology Evolution Focus Cells and their structures/functions Structures of animals Form and structure of living organisms Physical and chemical functions of tissues and organs Mechanisms inside organisms that protect them from disease and infection The nervous system Growth and development of plants and animals Genetic makeup of living organisms and heredity Chemistry of living organisms Nucleic acids and proteins How diseases arise and spread The changing of species over time Field Ecology Biogeography Population biology Focus How various organisms interact with their environ- ments Distribution of living organisms The biodiversity, evolution, and environmental biology of populations of organisms During the study of the life sciences, you will study cell biology, genetics, molecular biology, botany, microbi- ology, zoology, evolution, ecology, and physiology."
64,an owl receives its energy from,"Next, a bird might prey on the grasshopper, a snake may eat the bird, and then an owl might eat the snake."
64,which is more appropriate?,"In an ocean ecosystem, one possible food chain might look like this: phytoplankton  krill  fish  shark."
65,which represents a frog tadpole?,"Their larvae, or tadpoles, have gills, a tail, but no legs, and need to live in water."
65,which of the following is a characteristic of an adult frog?,"Adult frogs are characterized by long hind legs, a short body, webbed finger-like parts, and the lack of a tail."
65,which best describes the frog eyelids?,"In order to live on land and in water, frogs have three eyelid membranes: one is see-through to protect the eyes underwater, and the two other ones let them see on land."
65,what causes the female frog to release her eggs during mating?,"When a female picks a male whose call she likes, the male grabs her and squeezes across her back and around her abdomen."
65,what is special about a frogs tongue?,They can easily reach 12 inches long in an adult frog.
66,what best allows fungi to be able to absorb large amounts of nutrients?,"Fungi have lots of surface area, and this large surface area eats or absorbs."
66,where do most fungi live?,"Fungi are either too small to be seen without a microscope, or they live where you cannot see them easilydeep in the soil, under decaying logs, or inside plants or animals."
66,how many different species of fungi are thought to exist?,There may be as many as 1.5 million species of fungi .
66,fungi are essential members of all ecosystems. what best describes the role of fungi in ecosystems.,Fungi help decompose matter to release nutrients and make nutritious food for other organisms.
66,which eukaryotes are heterotrophs?,Fungi are very different from plants.
67,which statement is true concerning the cell wall?,The cell walls in many species of fungi contain chitin.
67,which of the following is a type of mold?,"Type of Fungi Molds Examples Penicillium Mushrooms Morels, shiitake, cremini, oyster Single-celled yeasts Bakers yeast"
67,it is thought that fungi are similar to plants. what is one significant difference between the two?,"Fungi are more like animals because they are heterotrophs, as opposed to autotrophs, like plants, that make their own food."
68,how do yeast reproduce?,"Budding: The fungus grows a new part of its body, which eventually breaks off."
68,which statement is correct concerning fungal reproduction?,"No- tice, when the sporangia burst, the spores are released from the fruiting body."
68,which is true of asexual reproduction in fungi?,"Through asexual reproduction, new organisms are produced that are genetically identical to the parent."
68,why reproduce sexually when asexual reproduction is much quicker?,Sexual reproduction brings together traits from the two parents.
69,which phylum of gymnosperms contains a living fossil?,Ginkgoes 4.
69,which phylum of gymnosperms contains plants that were dominant during the age of dinosaurs.,Cycads bear their pollen and seeds in cones on separate plants.
69,the fir trees and cedars belong to which phylum of gymnosperms?,Conifers have many uses.
69,which phylum of gymnosperms contains unusual desert shrubs?,"Gnetophytes, in the phylum Gnetophyta, are a very small and unusual group of plants."
70,a niche includes the organisms,A niche will include the organisms role in the flow of energy through the ecosystem.
70,what will happen if two species occupy the same niche?,"One species will out compete the other, forcing the other species to adapt or risk extinction."
70,what primarily determines the plants that can live in a specific habitat?,Many factors are used to describe a habitat.
70,"once a niche is left vacant, what happens?",Often this occurs as a new species evolves to occupy the vacant niche.
71,"at current rates of deforestation, all tropical forests will be gone by the year __________.","At current rates of deforestation, all tropical forests will be gone by the year 2090."
71,consequences of slash-and burn-agriculture include,Then the top soil erodes and desertification can follow.
71,causes of habitat destruction include,"Other causes of habitat destruction include poor fire management, overfishing, mining , pollution, and storm damage."
71,invasive species can de destructive as they,"Invasive species can disrupt food chains, carry disease, prey on native species directly, and out-compete native species for limited resources, like food."
71,how do humans contribute to habitat destruction?,Some ways humans cause habitat destruction are by clearing land and by introducing non-native species of plants and animals.
72,which food is made with the help of fungi?,"Some fungi are used in the production of soy sauce and tempeh, a source of protein used in Southeast Asia."
72,which of the following is made through fermentation by fungi?,"Yeasts are crucial for the fermentation process that makes beer, wine, and bread."
72,what makes blue cheese blue?,"For certain types of cheeses, producers add fungal spores to milk curds to promote the growth of mold, which makes the cheese blue."
72,which of the following statements is true,Antibiotics only treat bacterial diseases; they can not be used to treat viral or fungal diseases.
73,why is color vision important?,"Ripe fruits are usually red, orange, yellow, or purple."
73,why can bees and butterflies see colors that we cannot?,The leaves of the flowers they pollinate have special ultraviolet patterns which guide the insects deep into the flower.
73,why did three-dimensional vision evolve?,"To move about in the trees, they needed to be able to judge how far away the next branch was."
74,which great apes walk on two limbs?,"Specialized features of Homo sapiens include the following: small front teeth (canines and incisors) and very large molars relative to other primate species, a fully upright posture resulting in bipedalism (walking on two limbs instead of four), shortening of the arms relative to the legs, increased usefulness (dexterity) of the hands, increase in brain size, especially in the frontal lobes and a decrease in bone mass of the skull and face."
74,which is a specialized feature of humans?,"Specialized features of Homo sapiens include the following: small front teeth (canines and incisors) and very large molars relative to other primate species, a fully upright posture resulting in bipedalism (walking on two limbs instead of four), shortening of the arms relative to the legs, increased usefulness (dexterity) of the hands, increase in brain size, especially in the frontal lobes and a decrease in bone mass of the skull and face."
75,which country produces the most crustaceans for food?,"Over 80% is produced in Asia, with China producing nearly half the worlds total."
75,how many species of bees pollinate crops?,"More than 3,500 species of native bees pollinate crops."
75,approximately how many species of insects are edible?,"In fact, there are more than 1,900 edible insect species on Earth, hundreds of which are already part of the diet of about two billion people worldwide."
75,which arthropods are the most likely pollinators?,"As mentioned above, bees, wasps, ants, butterflies, moths, flies and beetles are invaluable agents of pollination."
75,"what arthropod produces a substance used in kevlar vests, fishing nets, surgical sutures, and adhesives?","The spiders web was discovered as an additional material that could provide strength, and has became essential raw materials for Kevlar vests, fishing nets, surgical sutures, and adhesives, as they contained natural antiseptics."
76,what ecosystem has the highest biodiversity?,"Because of its biodiversity, the rainforest shown above is an ecosystem with extreme importance."
76,"fungi, plants, and animals provide us with","As many as 40,000 species of fungi, plants, and animals provide us with many varied types of clothing, shelter, medicines and other products."
76,which of the following is a component of biodiversity?,"More specifically, biodi- versity can be defined as the variety of life and its processes, including the variety of living organisms, the genetic differences among them, and the communities and ecosystems in which they occur."
77,what do many birds eat as food?,"Others chiefly eat small animals, such as insects or earthworms."
77,which bird is an important pollinator?,"Hummingbirds, sunbirds, and the honey-eaters are common pollinators."
77,which bird is helpful at controlling insect populations?,"Insect eating birds include warblers, bluebirds and woodpeckers."
77,birds farmed as food for humans includes,You are probably familiar with birds as food.
77,what makes bird droppings a good fertilizer?,"These droppings have a high content of nitrogen, phosphate, and potassium, three nutrients essential for plant growth."
78,actions of which two echinoderms provides oxygen to the ocean depths?,"Sand dollars and sea cucumbers burrow into the sand, providing more oxygen at greater depths of the sea floor."
78,the hard echinoderm skeleton is used as a source of,The hard skeleton of echinoderms is used as a source of lime by farmers in some areas where limestone is unavailable.
78,"some sea cucumber toxins slow down the growth rate of tumor cells, so there is an interest in using these in","For example, some sea cucumber toxins slow down the growth rate of tumor cells, so there is an interest in using these in cancer research."
78,__________ is considered a delicacy in some southeastern asian countries.,Sea cucumbers are considered a delicacy in some southeastern Asian countries.
78,sea urchins are model organisms used in developmental biology research. they have been used to study the,"Sea urchins have been used to study the mechanisms of fertilization and egg activation, physiological processes that occur during early development, and the regulation of differentiation in the early embryo."
79,why are insects an important food source?,"Insects are a rich source of protein, vitamins, and minerals, and are prized as delicacies in many third-world countries."
79,which two bugs help to aerate soil by digging tunnels?,"Burrowing bugs, such as ants and beetles, dig tunnels that provide channels for water, benefiting plants."
79,what insects act as important pollinators?,"Bees, wasps, butterflies, and ants pollinate flowering plants ."
79,what insects are popular food choices?,"Among the most popular are cicadas, locusts, mantises, grubs, caterpillars, crickets, ants, and wasps."
79,what insects are tasty when roasted?,"From South America to Japan, people eat roasted insects, like grasshoppers or beetles."
80,how have horses and elephants helped human existence?,Horses and elephants can carry heavy loads.
80,how have zebras befriended ostriches?,"The zebra grazes the tougher parts of the plant, saving the softer parts for the wildebeest."
80,why is the relationship between baboons and impala sometimes one- sided?,Male baboons sometimes prey on young impala soon after birth.
80,which mammals are used in research on the learning process?,"Mammals more highly developed brains have made them ideal for use by scientists in studying such things as learning, as seen in maze studies of mice and rats."
80,how do mammals act as pollinators?,"In most cases, these animals visit flowers to eat their nectar, and end up with pollen stuck to their bodies."
81,what country consumes the most snails?,France alone consumes 5 million pounds of escargot every year.
81,the california sea slug is used to study,Several mollusks are ideal subjects for scientific investigation of the nervous system.
81,the most desirable pearls are made by,The most desirable pearls are produced by oysters and river mussels.
81,mother of pearl is commonly found in,"It can be found in buttons, watch faces, knives, guns, and jewelry."
81,"aquaculture is the farming of aquatic organisms such as fish, crustaceans, mollusks and aquatic plants. oysters are commonly produced this way. how much oyster meat is produced by farms in europe, japan and the us?","Today, fisheries in Europe, Japan, and the US alone produce over 1 billion pounds of oyster meat each year."
82,medicines made from protists are used to treat,"For example, medicines made from protists are used in treatment of high blood pressure, digestion problems, ulcers, and arthritis."
82,what type of mold serves as a model organism for scientific studies?,"For example, slime molds (including D. discoideum, a soil-living protist) are used to analyze the chemical signals in cells."
82,why do we need photosynthetic protists?,Plant-like protists produce almost one-half of the oxygen on the planet through photosynthesis.
82,which protists probably comprise the most important part of their food chain?,Plant-like protists produce almost one-half of the oxygen on the planet through photosynthesis.
83,having a reptile as a pet can teach you about,"Having a reptile as a pet, you get to learn about everything from adaptation, behavior and the environment, to nutrition, camouflage and reproductive strategies."
83,many people think this reptile makes a good soup?,Turtle soup is consumed throughout the world.
83,which snake would make a good pet?,"In the Western world, some snakes, especially less aggressive species, like the ball python or corn snake, are kept as pets."
84,which of the following absorbs and holds water?,"Peat moss is commonly used by gardeners to improve soils, since it is really good at absorbing and holding water ."
84,what is the greatest influence seedless plants have had on human society?,The greatest influence seedless plants have had on human society is in the formation of coal millions of years ago.
84,what seedless plant is used as a metal polisher and abrasive cleanser?,The horsetails reedy exterior and silica content made it popular as a metal polisher and abrasive cleanser.
84,coral formed from extinct forests of __________.,Club moss is also used to treat kidney ailments and digestive problems.
84,what plant can be used as a biological fertilizer?,"In tropical regions, the fern is used as a food source by many locals."
85,the waggle dance is a innate behavior,The way the bee moves during its dance tells other bees in the hive where to find the food.
85,an innate behavior of birds is,"Many animal behaviors are ways that animals act, naturally."
85,which is not an example of an innate behavior?,Spiders spin their complex webs without learning how to do it from other spiders.
85,which statement is true concerning innate behaviors?,All members of a species perform an innate behavior in the same way.
86,what insect eats by sponging?,The housefly is able to eat solid food by releasing saliva and dabbing it over the food.
86,what insect eats by chewing?,Insects eat in many different ways and they eat a huge range of foods.
86,"what insect is a predator, eating moths, caterpillars, lacewings, flies, aphids, earwigs, beetles, crickets and spiders?","Praying mantises are predators, hunting other small creatures, including insects like moths, caterpillars, flies, beetles, and spiders."
86,which method of eating is described as penetrating solid tissue and sucking liquid food?,Sponging Chewing Siphoning Used to suck liquids
87,what are the two groups of wingless insects?,"Wingless: Consists of two orders, the bristle tails and the silverfish."
87,which insects have the homing ability?,"Social insects, such as termites, ants, and many bees and wasps , are the most familiar social species."
87,which insects use ultrasonic clicks to communicate?,Sound Production By moving appendages Cicadas Ultrasound clicks Moths Loudest sounds among insects; have special muscles to produce sounds.
88,sponges comprise the phylum,"Phylum Porifera Cnidaria Platyhelminthes Nematoda Mollusca Annelida Arthropoda Echinodermata Meaning Pore bearer Stinging nettle Flat worms Thread like Soft Little ring Jointed foot Spiny skin Examples Sponges Jellyfish, corals Flatworms, tapeworms Nematodes, heartworm Snails, clams Earthworms, leeches Insects, crabs Sea stars, sea urchins"
89,all of the fish in the monterey bay aquarium would represent,A community is composed of all of the biotic factors of an area.
89,"if two animals can reproduce and produce fertile offspring, the parents are members of the same","For example, in Homo sapiens, sapiens is the species name."
90,which is common to all mammals?,Mammals (class Mammalia) are endothermic (warm-blooded) vertebrate animals with a number of unique characteristics.
90,characteristics of mammals include,Three middle ear bones.
90,which are monotreme mammals?,An example of a monotreme is the platypus with its birdlike beak and egg-laying characteristics.
90,"whales, dolphins, and porpoises evolved from","Whales, dolphins, and porpoises have all adapted from land-dwelling creatures to a life of swimming and reproducing in the water ."
91,to what group do rats belong?,"Rodents include rats, mice, and other small gnawing mammals."
91,"what do sheep, goats and pigs have in common?","Ungulates include hoofed animals, such as deer, sheep, goats, pigs, buffalo, elephants and giraffes ( Figure a thick nail rolled around the tip of the toe."
91,"what is common among lions, wolves and polar bears?","Carnivores include cats and lions and tigers, dogs and wolves, polar bears, and other meat eaters."
91,"what group of mammals is characterized by long ears, a short tail, and a bouncing method of locomotion.",Lagomorphs include hares and rabbits.
92,which statement is true concerning marsupials?,"Although blind, without fur, and with only partially formed hind legs, the tiny newborns have well developed forelimbs with claws that enable them to climb their way into their mothers pouch where they drink their mothers milk and continue their development."
92,what does the placenta provide to the developing embryo?,"A placenta is a spongy structure that passes oxygen, nutrients, and other useful substances from the mother to the fetus."
92,which of the following mammals are marsupials?,"Marsupials include kangaroos, koalas, and opossums."
92,which mammals exhibit sexual dimorphism?,"Male elk grow antlers, while female elk do not have antlers."
92,most marsupials live in,Most marsupials live in Australia and nearby areas.
93,what caused the dinosaurs to go extinct?,Some scientists believe a possible cause is a collision between the Earth and a comet or asteroid.
93,which order of events contributed to the extinction of the dinosaurs?,"The collision could have caused tidal waves, changed the climate, increased atmospheric dust and clouds, and reduced sunlight by 10-20%."
93,what occurs after each mass extinction?,"After each mass extinction, new species evolve to fill the habitats where old species lived."
93,what percent of organisms went extinct during the permian mass extinction?,"At the end of the Permian Period, it is estimated that about 99.5% of individual organisms went extinct!"
94,"if t represents the tall factor, and t represents the short factor, what plants will be tall?","As each parent gives one factor to the F1 generation, all of the F1 generation will be Tt tall plants."
95,"when mendel crossed a short plant with a tall plant, what were the f1 results?",Mendel observed that the offspring of this cross (called the F1 generation) were all tall plants!
95,how did mendel cross-pollinate plants?,Cross pollination is done by hand by moving pollen from one flower to the stigma of another (just like bees do naturally).
96,what is necessary for macroevolution?,"As a result of a major environmental change, such as a volcanic eruption, earthquake, or an asteroid hitting Earth, which changes the environment so much that natural selection leads to large changes in the traits of a species."
96,which of the following statements is correct?,Macroevolution refers to much bigger evolutionary changes that result in new species.
97,which two organisms share the most recent common ancestor?,This provides additional evidence that the gorilla and orangutan are more closely related than the gorilla and the chicken.
98,which statement best explains the relationship between evolution and natural selection?,Evolution occurs by natural selection.
98,how many species are predicted to be alive on earth?,Scientists estimate that there are between 5 million and 30 million species on the planet.
99,which of the following statements is correct?,"The gametophyte produces the gametes that, after fertilization, develop into the diploid sporophyte with two sets of chromosomes."
99,which nonvascular plant has long and pointed sporophytes?,Hornworts are named for their appearance.
99,what part of the nonvascular plant releases spores?,"The sporophyte forms a capsule, called the sporangium, which releases spores ."
99,what nonvascular plant has a flattened appearance?,Liverworts can often be found along stream beds.
99,which statement is associated with hornwors?,"The hornlike sporophytes grow from a base of flattened lobes, which are the gametophytes ."
100,what is the science of naming and grouping organisms?,"Linnaeus is considered the inventor of modern taxonomy, the science of naming and grouping organisms."
100,who is considered the inventor of modern taxonomy?,"In the 18th century, Carl Linnaeus invented the two-name system of naming organisms (genus and species) and introduced the most complete classification system then known."
101,the formation of new breeds of dogs is an example of,Artificial selection occurs when humans select which plants or animals to breed in order to pass on specific traits to the next generation.
101,speciation due to the formation of a new river after a flood is an example of,Allopatric speciation occurs when groups from the same species are geographically isolated for long periods.
101,two groups of frogs that live in the same habitat but have different mating seasons is an example of,Sympatric speciation is more difficult to identify.
101,the change in allele frequencies of a population due to selection against environmental changes is an example of,Natural selection caused this beneficial trait to become more common than short necks.
102,what organelle differs between plant and animal cells?,"Plants have adapted to a variety of environments, from the desert to the tropical rain forest to lakes and oceans."
102,what is one main difference between plant-like protists and plants?,"Unlike plants, algae is mostly unicellular."
102,which combination of terms refers to plants?,"Plants have chloroplasts, the organelle of photosynthesis, and are known as producers and autotrophs."
102,how do plants support animal life?,Plants are the food that animals eat.
102,what are the distinguishing characteristic(s) of all plants?,They are all: 1.
103,which plants evolved first?,Nonvascular plants evolved first.
103,which of the following are examples of gymnosperms?,"Examples of gymnosperms include the Redwood, Fir, and Cypress trees."
103,which of the following are examples of seedless vascular plants?,"Examples include the ferns, whisk ferns, club mosses, and horsetails."
103,which of the following are examples of angiosperms?,"Examples of an- giosperms include magnolia trees, roses, tulips, and tomatoes."
103,which of the following are examples of nonvascular plants?,"Examples include mosses, liverworts, and hornworts."
104,plant-like protists are also known as,Plant-like protists are known as algae .
105,what organism did plants evolve from?,"Evidence shows that plants evolved from freshwater green algae, a protist ."
105,what is the difference in embryo development between plants and their protist ancestor?,"In plants, the embryo develops inside of the female plant after fertilization."
105,what was a significant development allowing plants to live on land?,"In early plants, a waxy layer called a cuticle evolved to help seal water in the plant and prevent water loss."
105,what was a significant development allowing plants to exchange gases?,"To allow the plant to retain water and exchange gases, small pores (holes) in the leaves called stomata also evolved ."
105,what was the first feature to evolve separating plants from their protist ancestor?,"In plants, the embryo develops inside of the female plant after fertilization."
106,which of the following is an example of grazing?,You may have seen cows grazing on grass.
106,which of the following may be a keystone species?,"For example, if all of the wolves are removed from a population, then the population of deer or rabbits may increase."
106,leaf insects take on the appearance of a leaf. this is an example of,Camouflage by the dead leaf mantis makes it less visible to both its predators and prey.
106,what traits may help an organism be an effective hunter?,Prey sometimes avoid detection by using camouflage ( Figure background.
107,big brains have given primates,Primates have the ability to learn new behaviors.
107,what allows primates to grasp objects?,"An opposable thumb, a finger that allows a grip that can hold objects."
107,why might have sexual dimorphism evolved among primates?,This dimorphism may have evolved when one male had to defend many females.
107,differences between old world and new world monkeys includes,"New World species, including tamarins (squirrel-sized monkeys) and marmosets (very small primitive monkeys) , form pair bonds, which is a partnership between a mating pair that lasts at least one season."
107,where do primates live?,"A few species, such as the proboscis monkey, De Brazzas monkey, and Allens swamp monkey, evolved webbed fingers so they can swim and live in swamps and aquatic habitats."
108,who proposed the kingdom protista?,"Although Ernst Haeckel set up the Kingdom Protista in 1866, this kingdom was not accepted by the scientific world until the 1960s."
108,which protists are autotrophs that photosynthesize?,"Plant-like protists, which are autotrophs that photosynthesize."
108,which protists are heterotrophs and have the ability to move?,"Animal-like protists, which are heterotrophs and have the ability to move."
108,which protists have cells with cell walls and reproduce by forming spores?,"Fungi-like protists, which are heterotrophs, and they have cells with cell walls and reproduce by forming spores."
109,which protists obtain their nutrients from endocytosis of other organisms?,"The animal-like protists must ""eat"" or ingest food."
109,which protists obtain their energy from absorbing the nutrients of decaying matter?,"Some of the fungus-like protists, such as the slime molds , decompose decaying matter."
109,which protists obtain energy through photosynthesis and cellular respiration?,"There are many plant-like protists, such as algae, that get their energy from sunlight through photosynthesis."
110,caring for young is common in what two types of organisms?,"In most species of birds and mammals, one or both parents care for their offspring."
110,when is a species likely to be territorial?,A species is more likely to be territorial if there is not very much food in their area.
110,it what ways to animal parents care for their young?,It may also include feeding the young and protecting them from predators.
110,which of the following is an example of a courtship behavior?,Male deer clash antlers to court females.
111,how do snakes smell?,"But, some lizards, and all snakes, smell with their tongues, which is flicked out of the mouth to pick up scent molecules from the air."
111,which best describes most young reptiles?,The young reptiles look like miniature versions of the adult.
112,"in the united states, where are frog legs a popular food?","Frog legs are a delicacy in China, France, the Philippines, northern Greece, and the American south, especially the Frensh-speaking parts of Louisiana."
112,the word salamander originates from words meaning,"Its name originates from the Persian words for fire and within,"" so many of these legends are related to fire."
113,which best describes a teratogen?,"Also, carcinogens, which are chemical that cause cancer, pathogens, which are disease-causing virus, bacteria or fungi, and teratogens, which are chemical that cause deformities in developing embryos, are extremely hazardous, and extreme care must be used when working with these items as well."
113,"while performing an experiment, if anything out of the ordinary occurs, the first thing you should do is",Alert your teacher immediately if anything out of the ordinary occurs.
113,which best describes a field scientist?,Scientists who work outdoors are also required to follow safety regulations.
113,"before biologists can study protected animal species,","Before biologists can study protected wildlife or plant species, they must apply for permission to do so, usually from the government."
114,salamander defenses include,Many salamanders have glands on the back of the neck or on the tail that give off a poisonous or bad-tasting liquid.
114,salamanders can be found on all continents except,They live on all continents except Antarctica and Australia.
114,which characteristic is associated with sirens?,"Sirens have long, strong tails that are flat to help sirens swim like a fish, with the tail swinging from side to side."
114,which describes salamanders that live in caves?,These salamanders have pale skin and reduced eyes as they have adapted to living in complete darkness in underground pools of water.
114,what is unique about the ribbed newt?,"One particular salamander, the ribbed newt, has needle-like rib tips."
115,"to collect evidence to support a hypothesis,","If many experiments are performed, and lots of evidence is collected in support of a general hypothesis, a scientific theory can be developed."
115,which of the following is considered evidence?,"A direct, physical observation of something or a process over time."
115,which of the following describes a scientific law?,"The law of gravity is a scientific law, which is a statement describing what always happens under certain conditions in nature."
115,which of the following is true concerning scientific theories?,"Scientific theories are well established explanations of evidence, usually tested and confirmed by many different people."
115,when can a scientific theory be changed?,"Thus, when scientists find new evidence, they can change their theories."
116,which of the following is a detailed observation?,"A good scientist may observe, ""While all seven adult females and three adult males on the north side of the jungle are healthy and show normal behavior, four female and five male chimps under the age of five on the south side have died."""
116,which of the following statements is true?,"Scientists ask questions, and then make detailed observations to try to ask more specific questions and develop a hypothesis."
116,how do scientists find answers?,Detailed observations can ultimately help scientists design their experiments and answer their questions.
116,what is a conclusion?,A conclusion describes what the evidence tells the scientist.
117,which of the following are short-day plants?,"Short-day plants include cotton, rice, and sugar cane."
117,how do plants determine the time of year?,"Plants determine the time of year by the length of daylight, known as the photoperiod."
117,why do leaves change color in the fall?,"For example, in the fall, when the days start to get shorter, the trees sense that there is less sunlight."
118,which of the following is a characteristic of a seed?,"With special adaptations in the seeds, the seeds can be carried long distances by the wind."
118,how are the fruits of a maple tree dispersed?,Maple trees also have specialized fruits with wing-like parts that help seed dispersal .
118,how are the seeds of pine trees dispersed?,"If you look under the scales of pine cone, you will see tiny seeds with ""wings"" that allow these seeds to be carried away by the wind."
118,how are the seeds of an apple tree dispersed?,"When animals eat the fruit, the seeds pass through an animals digestive tract unharmed."
118,how are non-fleshy fruits dispersed?,Some non-fleshy fruits are specially adapted for animals to carry them on their fur.
119,the role of the male drones is to,They mate with the queen.
119,which of the following are social animals?,"Social animals include many species of insects, birds, and mammals."
119,which of the following is the job of worker ants?,Their job is to build and repair the colonys nest.
119,which of the following statements is true?,"Specific examples of social animals are ants, bees, crows, wolves, lions, and humans."
120,the presence of pelvic bones in a whale suggests that,Whales are descended from land-dwelling ancestors that had legs.
120,the presence of gill slits in a human embryo suggests that,The presence of the gill slits suggests that a long time ago humans and fish shared a common ancestor.
120,which best describes a vestigial structure?,Structures that have lost their use through evolution are called vestigial structures.
121,what is the end result of ecological succession?,A climax community  is the end result of ecological succession.
121,what do lichens help create?,How is soil produced?
121,"after a forest fire,","Secondary succession is the type of succession that happens after something destroys the habitat, such as a flood or other natural disaster."
121,which would represent primary succession?,Primary succession on a rock often be- gins with the growth of lichens.
121,what event can initiate secondary succession?,"Secondary succession is the type of succession that happens after something destroys the habitat, such as a flood or other natural disaster."
122,what type of relationship exists between hookworms and humans?,An example of a parasite is a hookworm.
122,what type of relationship exists between tigers and golden jackals?,The relationship between tigers and golden jackals is also commensalism.
122,what is the type of symbiotic relationship where only one species benefits?,Commensalism is a symbiotic relationship in which one species benefits while the other is not affected.
123,how do fungi help ants and termites?,The fungi help them digest the wood or leaves.
123,fungi cause what human diseases?,Some parasitic fungi cause human diseases such as athletes foot and ringworm.
123,fungi forms symbiotic relationships with,"Some of the partners in these relationships include plants, algae, insects and other animals, and even humans."
123,which of the following statements is true?,"Examples of parasitic fungi include the following: Beginning in 1950, Dutch Elm trees in the United States began to die."
123,"primary succession is the new growth of life in areas where life has never been. this is usually on new land where soil may be lacking. in a rock-based environment without soil, what type of fungi is probably one of the earliest forms of life?","Although lichens may not be the prettiest organisms in nature, they are unique."
124,what is the coldest of all biomes?,"The tundra is characterized for its frost-molded landscapes, extremely low temperatures, little precipitation, poor nutrients, and short growing seasons."
124,"tropical, temperate, and taiga refer to what type of biomes?","Forests include tropical, temperate, and boreal forests (taiga)."
124,which of the following describes the tundra?,"The tundra is characterized for its frost-molded landscapes, extremely low temperatures, little precipitation, poor nutrients, and short growing seasons."
